,parent_folder,text,filename
0,2005A ,H# LIKE FINDING A H# PROPER NURSING HOME H#,sw2005A-ws96-i-0041
1,2005B ,H# IN DOING IT WHEN IT GOT TO THE POINT THAT WE HAD DO IT H#,sw2005B-ws96-i-0015
2,2006A ,H# EVERYBODY HAS THEIR HOME PHONE NUMBER TYPE[OF] JOB H#,sw2006A-ws96-i-0037
3,2010B ,H# HE REALLY WANTED IT WHETHER IT H#,sw2010B-ws96-i-0034
4,2012A ,H# RIGHT IT TURNED OUT TO BE H# AN INVITATION H#,sw2012A-ws96-i-0012
5,2015A ,H# PEDDLING PRODUCTS H# IF I WANTED THEIR PRODUCTS H# I WOULD HAVE H# EITHER GONE TO_THE STORE TO BOUGHT OR_I WOULD HAVE H# CALLED FOR THE H# SALESMAN TO COME OUT H#,sw2015A-ws96-i-0026
6,2015B ,h# YES YES h#,sw2015B-ws96-i-0001
7,2019A ,H# BUT H# SHE IS A GREAT COMFORT TO ME H#,sw2019A-ws96-i-0071
8,2019A ,H# AW WHAT A SHAME H#,sw2019A-ws96-i-0088
9,2020B ,H# I I REALLY_# I HAVE I HAVE STRONG OBJECTIONS TO THAT H#,sw2020B-ws96-i-0029
10,2024B ,H# HAVE A H# I HAVE A WIDE VARIETY OF OF HOBBIES THEREFORE MY H#,sw2024B-ws96-i-0003
11,2024B ,H# FALLS IN LINE WITH_THE T I CULTURE HERE[AT] TEXAS INSTRUMENTS H#,sw2024B-ws96-i-0041
12,2028B ,h# GATHERED AND THE PROGRAM AND SO FORTH h#,sw2028B-ws96-i-0110
13,2032A ,H# AND HOW ABOUT THE ROLLING STONES H#,sw2032A-ws96-i-0009
14,2035B ,H# AND WE H#,sw2035B-ws96-i-0016
15,2038A ,H# THE H# GOVERNMENT IN POWER THAT H#,sw2038A-ws96-i-0023
16,2039B ,H# EVERY NIGHT THIS WEEK H# SO H#,sw2039B-ws96-i-0035
17,2039B ,h# TWO OR THREE NOVELS A WEEK h#,sw2039B-ws96-i-0075
18,2040A ,H# PART OF THIS I SUPPOSE H#,sw2040A-ws96-i-0011
